gene_name	A2780_rep1	A2780_rep2	A2780_rep3	Acis_rep1	Acis_rep2	Acis_rep3
TSPAN6	471	477	426	104	112	84
TNMD	15	15	7	0	0	0
DPM1	322	299	279	232	242	224
SCYL3	189	213	162	97	126	115
C1orf112	388	389	365	325	318	259
CFH	1860	1822	1710	1983	2066	1945
FUCA2	185	193	174	117	120	103
GCLC	319	323	282	338	371	323
NFYA	635	638	591	555	568	496
STPG1	98	109	88	32	34	50
NIPAL3	147	109	129	79	83	69
LAS1L	752	725	613	588	536	545
SEMA3F	87	92	86	127	92	89
CFTR	4	0	0	8	1	2
ANKIB1	616	621	572	647	728	660
CYP51A1	40	35	35	66	49	49
KRIT1	93	86	78	84	99	107
RAD52	172	200	180	209	193	162
BAD	151	142	127	166	164	147
LAP3	430	424	385	409	395	378
CD99	264	247	243	417	363	377
MAD1L1	37	22	11	20	10	17
LASP1	958	939	845	703	609	581
SNX11	95	119	105	129	104	110
M6PR	549	516	503	437	450	432
KLHL13	150	145	138	87	89	102
CYP26B1	13	10	6	146	118	130
ICA1	13	13	12	0	0	0
DBNDD1	192	178	150	228	256	212
ALS2	597	624	507	446	448	412
CASP10	6	6	3	27	34	37
CFLAR	386	368	350	368	379	344
TFPI	57	39	43	8	17	15
NDUFAF7	179	185	168	186	194	206
RBM5	868	834	772	685	658	674
MTMR7	1	1	2	0	0	0
SLC7A2	1432	1418	1304	339	369	325
ARF5	224	223	197	221	227	207
SARM1	552	513	436	502	500	439
POLDIP2	681	662	590	654	628	569
PLXND1	280	253	223	743	673	584
AK2	644	652	588	635	580	595
FKBP4	1073	1137	994	1059	1039	958
KDM1A	1187	1195	1082	1125	1153	1004
RBM6	807	753	717	729	674	669
CAMKK1	162	140	107	179	181	145
RECQL	440	428	390	437	473	459
VPS50	154	185	158	180	221	202
HSPB6	3	4	9	1	5	2
ARHGAP33	78	87	79	102	89	77
NDUFAB1	265	279	256	210	227	213
ZMYND10	6	4	3	24	38	14
ARX	71	56	56	0	0	0
SLC25A13	722	678	595	415	427	406
ST7	282	271	269	355	340	297
CDC27	882	907	791	772	875	814
HCCS	224	238	230	199	229	215
DVL2	564	582	511	565	526	479
UPF1	1071	1018	975	1027	964	842
SKAP2	2	1	2	4	4	4
SLC25A5	626	610	559	624	628	559
MCUB	72	71	57	220	225	213
POLR2J	117	130	103	100	110	105
DHX33	897	886	781	993	989	948
MEOX1	27	44	31	200	191	188
THSD7A	0	1	0	2	3	1
LIG3	820	768	691	735	730	655
RPAP3	609	585	541	681	753	698
REXO5	131	109	104	83	75	87
CIAPIN1	381	361	321	324	315	296
SPPL2B	290	267	196	167	160	131
FAM214B	95	82	97	44	41	39
COPZ2	0	2	1	2	0	0
PRKAR2B	214	223	205	91	114	94
MSL3	233	240	207	265	282	251
CREBBP	1752	1664	1568	1845	1705	1688
GCFC2	451	428	420	225	269	265
WDR54	118	99	100	102	86	107
CROT	79	77	63	90	109	104
KMT2E	774	720	752	638	607	635
RHBDD2	357	310	277	321	338	306
SOX8	9	2	5	533	480	452
IBTK	648	635	561	718	769	746
ZNF195	548	550	492	388	365	417
MYCBP2	1717	1591	1437	1045	1049	1048
FBXL3	205	211	204	123	132	107
PDK2	183	202	153	109	114	94
ITGA3	78	71	63	117	120	84
ZFX	946	934	844	859	860	824
LAMP2	352	355	327	328	373	321
ITGA2B	12	12	10	21	18	13
GDE1	464	496	422	500	523	501
REX1BD	225	205	179	217	170	162
CRLF1	21	10	11	25	18	17
OSBPL7	66	69	62	16	17	21
TMEM98	7	1	4	49	52	45
YBX2	139	145	119	132	115	114
MAP3K14	507	480	412	564	503	507
ABCC8	7	9	6	50	48	41
TMEM132A	644	658	584	690	685	529
AP2B1	1524	1499	1354	1021	1024	961
TAC1	11	6	14	0	0	0
ZNF263	490	476	427	477	474	423
SPATA20	148	119	105	322	282	255
CACNA1G	68	70	62	14	11	11
TNFRSF12A	259	251	212	355	381	312
DLX6	513	545	472	0	0	0
MAP3K9	214	228	186	107	90	78
RALA	410	428	355	308	316	295
BAIAP2L1	469	465	386	151	156	117
KDM7A	269	302	252	182	184	164
ETV1	237	216	211	25	29	39
AGK	425	410	373	318	283	282
ALDH3B1	14	6	5	20	34	27
PHTF2	662	701	645	563	690	633
FARP2	1215	1141	1027	1128	1131	1053
GGCT	161	150	143	140	140	134
DBF4	297	320	289	320	344	295
TBXA2R	70	52	46	40	43	27
IFRD1	351	341	278	492	510	468
COX10	189	180	163	239	246	239
GTF2IRD1	246	242	236	193	188	174
PAF1	509	461	477	466	417	425
VPS41	503	507	465	435	430	440
ARHGAP44	84	68	64	177	140	151
ELAC2	796	760	697	842	812	752
SCIN	24	30	23	0	0	0
ARSD	91	62	73	47	53	44
PNPLA4	82	92	71	47	48	48
ADIPOR2	827	830	691	772	786	704
CDKL3	13	10	3	9	4	7
MARK4	370	358	330	322	290	235
CCDC124	397	356	327	470	446	384
PAFAH1B1	1218	1179	1103	980	1107	1005
NOS2	18	22	19	63	48	46
KIAA0100	2123	2051	1824	2133	2077	1894
GAS7	2	2	0	12	12	17
TRAPPC6A	36	38	38	18	23	15
MATK	208	200	176	534	480	422
ST7L	193	195	193	97	85	80
PAX6	20	20	31	5	1	0
RPUSD1	383	381	316	466	443	354
RHBDF1	233	241	211	235	211	210
LUC7L	549	519	500	511	493	448
CACNA2D2	25	24	25	31	24	30
BAIAP3	5	9	3	22	25	24
TSR3	230	215	192	202	197	177
PIGQ	251	219	193	189	165	140
CRAMP1	239	241	207	232	241	192
TEAD3	247	231	205	88	83	91
DNAJC11	1022	985	847	854	842	735
MYLIP	2	5	3	83	100	78
E2F2	446	475	384	616	594	542
PSMB1	323	302	269	244	265	234
SYN1	12	20	16	41	32	19
JARID2	460	427	411	295	299	256
CDKL5	2	8	2	0	1	0
CDK11A	38	42	33	36	27	39
NADK	452	428	339	403	412	349
DLEC1	1	0	1	0	0	1
CYTH3	121	126	107	99	73	88
ADAM22	43	50	44	44	48	43
SYPL1	345	336	304	289	333	268
CYB561	140	144	121	370	311	266
SPAG9	1067	1028	919	914	1008	937
CELSR3	703	697	597	448	392	350
AASS	174	203	185	240	234	209
SS18L2	138	133	108	132	129	122
MPND	150	159	141	144	104	106
MGST1	88	76	72	67	79	68
CRY1	422	435	366	380	404	380
NFIX	941	818	798	1169	1024	977
ST3GAL1	2	1	2	431	408	378
MMP25	10	11	5	8	6	7
IL32	12	10	10	0	0	0
PKD1	1003	961	838	882	817	660
MAPK8IP2	225	216	181	46	39	44
MED24	793	765	690	723	696	611
RHOBTB2	256	242	231	330	365	324
HEATR5B	393	405	367	430	440	427
SEC62	681	683	596	576	594	614
RPS20	296	307	268	341	340	329
CSDE1	1882	1817	1694	1274	1340	1218
UBE3C	1090	1126	1005	1237	1336	1211
REV3L	636	609	540	728	754	746
TENM1	13	11	14	0	0	0
MASP2	9	5	6	7	3	5
FAM76A	96	96	87	86	98	82
POMT2	370	319	276	345	334	283
VTA1	298	287	246	242	313	287
MLXIPL	48	40	24	90	90	89
BAZ1B	2488	2529	2290	1989	1970	1852
RANBP9	457	436	397	450	457	398
ETV7	12	9	9	0	0	0
SPRTN	255	246	239	265	281	262
EEF1AKNMT	723	756	640	757	764	715
